"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2023-03-31 08:39:16","08:39","Ulam","-50.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-03-30 19:39:03","19:39","Ulam","-50.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Income","2023-03-30 19:37:06","19:37","Side Hustle","200.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-03-30 16:06:17","16:06","Le Katsu","-139.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-03-29 18:05:44","18:05","Bibingka, Noodles","-49.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-03-28 18:11:10","18:11","Egg","-9.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-03-28 18:03:48","18:03","Polvoron","-5.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-03-28 12:16:46","12:16","We Deliver","-110.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-03-28 12:16:40","12:16","Jeep","-10.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-03-27 19:13:58","19:13","Ministop","-58.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-03-27 19:13:41","19:13","Computer Shop","-33.00","PHP","1.0000000000","Shopping","Electronics/Gadgets","Wallet","","","Reconciled"
"Income","2023-03-27 08:13:19","08:13","Side Hustle","200.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-03-26 17:14:11","17:14","Shampoo","-176.00","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
"Expense","2023-03-26 16:10:59","16:10","Veggies","-51.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-03-26 16:10:29","16:10","Fruits","-170.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-03-26 16:10:20","16:10","Ministop","-114.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
