"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2022-11-19 14:42:09","14:42","Pantry","-45.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-18 14:39:18","14:39","Bananas","-27.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2022-11-18 14:39:01","14:39","Tuna","-37.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-18 14:38:17","14:38","Chubby Habbi's","-250.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2022-11-17 23:37:11","23:37","Tresto","-630.00","PHP","1.0000000000","Leisure","Hangout ","Wallet","","","Reconciled"
"Expense","2022-11-17 19:37:50","19:37","Big Belly's","-150.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2022-11-17 11:41:20","11:41","Tresto","200.00","PHP","1.0000000000","Leisure","Hangout ","GCash","","","Reconciled"
"Expense","2022-11-16 16:27:59","16:27","JV","70.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2022-11-16 13:05:05","13:05","We Deliver","-99.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2022-11-15 20:56:56","20:56","Ministop","-138.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2022-11-15 19:56:32","19:56","Groceries","-220.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-15 18:03:16","18:03","Bottled water","-15.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-15 14:10:13","14:10","We Deliver","-140.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2022-11-15 10:55:33","10:55","Bulacan to Elbi","-248.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-11-15 07:40:58","07:40","Mommy","50.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-14 09:18:58","09:18","Kuya A","1000.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-14 09:17:51","09:17","Delight","-26.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-13 09:18:39","09:18","Food and Drinks","-69.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-13 09:17:20","09:17","Delight, Mang Juan","-35.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-11 12:55:23","12:55","Mommy","-50.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-11 09:18:12","09:18","Kuya A","-500.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-11 07:56:19","07:56","Lemon","-32.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-11 07:55:06","07:55","Pandesal","-8.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-11 07:54:49","07:54","Alms","-10.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-11 06:54:36","06:54","Gym","-50.00","PHP","1.0000000000","Personal Care","Health & Fitness","Wallet","","","Reconciled"
"Transfer","2022-11-09 17:45:59","17:45","Daddy borrow","-100.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Transfer","2022-11-09 17:45:59","17:45","Daddy borrow","100.00","PHP","1.0000000000","(Transfer)","(Transfer)","GCash","","","Reconciled"
"Expense","2022-11-09 12:00:47","12:00","Elbi to Bulacan","-219.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-11-09 12:00:38","12:00","Jollibee","-155.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2022-11-09 09:22:25","09:22","Vitamilk, soap","-85.00","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
